tekst,dimensioon,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10
www_tooelu_ee.ela_624263.txt,abs,1,1,1,0.5,1,0,1,0,0,0.5
,info,2,2,3,2,1,0.5,0,3,0.5,1
,aeg,0,0,0,0,0,0.5,2,0,0,2
,afek,0,0,0.5,0,0,0.5,1,0.5,1,1
,form,2,2,0,1,2,1,2,0,0,0
,inter,0,0.5,0,0,0,0,1,0,0.5,0
,spont,1,0.5,0.5,0.5,0,0,0,0,0,0
,imp,3,3,3,3,3,2,1,2,0.5,3
,arg,3,0.5,3,0.5,1,2,0.5,2,0.5,2
,inst,2,1,3,2,2,2,3,0,2,2
,keer,0,1,0,0,0,0,0,0,0.5,0
,subj,0,0,0,1,0,1,1,0.5,1,1
www_easl_ee.ela_201171.txt,abs,0,0,0,0,0,0,0,0,0,2
,info,2,0,3,3,1,2,1,1,2,3
,aeg,0,1,0.5,1,0.5,2,0.5,1,1,0.5
,afek,0,0,0,1,0,0.5,0.5,0.5,1,0.5
,form,1,2,0,0,0,1,1,2,1,0
,inter,1,1,0,1,0,0,1,0,1,0.5
,spont,0,0,1,0,0,0,0,0,0,0
,imp,3,0,0.5,0,0,2,0,2,0.5,1
,arg,1,0,0,0,0,0.5,0.5,0,0.5,0
,inst,0.5,0,1,0.5,0.5,0,0,0,0.5,0
,keer,0,0,1,0,1,0,1,0,0,0
,subj,0,0,0,0,0,0,0,0.5,0,0
www_autoleht_ee.ela_469280.txt,abs,0.5,0,0,0,0,1,0.5,0,0,2
,info,3,2,3,2,3,2,3,3,3,3
,aeg,0.5,0.5,0.5,0.5,0.5,0,1,0.5,0.5,0.5
,afek,0,0,0,0,1,0,0,0.5,0.5,0
,form,0,2,1,0,0,1,2,0,0.5,0
,inter,0,0.5,0,0,0,0,0,0,0.5,0
,spont,0.5,0,0,0,0,0,0,1,0,1
,imp,3,3,3,2,3,3,2,2,1,3
,arg,0,0,0,0,0,2,0.5,0,0,0
,inst,0,0,0,0,1,0,0,0,0.5,0
,keer,1,2,1,2,2,1,2,2,0.5,1
,subj,1,0.5,1,0.5,0.5,0.5,0.5,0,0.5,0
www_syndikaat_ee.ela_469373.txt,abs,0.5,0,0,0,3,0,2,0,0,0.5
,info,1,0.5,0.5,2,1,0.5,1,1,1,1
,aeg,1,2,2,2,0,1,3,2,2,2
,afek,2,1,1,3,1,1,1,1,1,3
,form,0,0,0,0,0,0,0,0,0,0
,inter,0.5,1,0,0,0,0.5,1,1,3,0.5
,spont,0,0,2,0,1,3,2,0,2,1
,imp,0,0,0,0.5,0,0,0,0.5,0,0.5
,arg,0,0,0,2,0.5,0,0,0,0,0
,inst,0,0,1,0,0,0.5,0.5,0.5,0.5,1
,keer,0,0.5,0,0.5,0.5,0,0,0,0,0
,subj,3,2,3,2,2,2,2,2,3,3
ylle_mrt_ee.ela_101705.txt,abs,2,0.5,1,2,2,0,2,0,0,1
,info,0.5,1,1,0,1,1,0,2,1,0
,aeg,1,1,1,2,0.5,1,1,0,2,3
,afek,3,2,3,3,3,2,3,2,2,3
,form,0,0,0,0,0,0.5,0.5,0.5,0,0
,inter,0,1,2,0,0,0,2,0,1,0
,spont,0,1,3,1,2,3,3,1,3,2
,imp,1,1,1,0.5,0.5,0,1,0.5,0.5,1
,arg,3,2,1,2,2,0.5,2,0.5,3,1
,inst,1,0.5,1,1,0.5,0.5,0,0,0.5,0
,keer,0,1,1,0,0,0.5,1,0,0.5,1
,subj,3,3,3,3,3,3,3,2,3,3
rahvahaal_delfi_ee.ela_499379.txt,abs,0,0,1,0,1,0,0.5,1,1,0
,info,1,2,2,2,1,0,1,0.5,0,1
,aeg,0,0,0,0,0,0,0,0,0.5,1
,afek,0,0.5,2,3,2,1,0.5,0,0.5,0.5
,form,0,0,0,0,0,0,0,0,0,0
,inter,2,2,0,2,0,1,3,0,0.5,0
,spont,2,2,0,2,3,0.5,1,0,0.5,0
,imp,3,0,1,0.5,2,0,1,0,1,0.5
,arg,0,0,1,1,2,0,0,2,1,0
,inst,3,2,3,3,2,2,3,2,3,1
,keer,0,0,0,0,1,0,0,0,0,0
,subj,1,1,1,1,1,3,0.5,0.5,1,2
www_admiralmarkets_ee.ela_456804.txt,abs,2,1,1,1,1,2,0.5,0.5,0.5,3
,info,3,2,3,2,1,2,2,2,1,3
,aeg,0,2,1,2,0.5,0,1,1,0,1
,afek,1,0.5,0.5,1,0.5,0,0,2,3,1
,form,0,2,2,0,1,1,1,0,0,1
,inter,1,1,0,1,1,0,1,0,0.5,0
,spont,0,0,0,0,0,1,1,1,0.5,1
,imp,0,0,2,0,0.5,2,1,3,1,3
,arg,0,1,3,1,3,2,2,0,0,1
,inst,0,0,0,0,1,2,0,0,0.5,0
,keer,1,3,2,3,0.5,1,0,1,0.5,1
,subj,1,0.5,1,1,1,0,2,1,3,1
www_linnateater_ee.ela_612249.txt,abs,2,3,2,3,3,0.5,2,2,2,1
,info,1,0,1,0,0,0.5,0.5,0.5,0,1
,aeg,0,0,0,1,0.5,1,0,0,0,0
,afek,3,2,2,0,0,1,1,1,3,1
,form,0,0,0,0,0,0,0,1,0,0
,inter,3,3,3,2,3,3,1,0.5,1,3
,spont,3,2,2,2,1,2,2,0,3,1
,imp,1,1,1,1,1,0,0,1,0,0.5
,arg,1,2,1,2,3,0,2,0,1,2
,inst,0,1,0,0,0,0.5,1,0,0.5,0.5
,keer,0,1,0.5,1,2,0,1,0,2,1
,subj,3,2,3,3,3,3,3,2,3,3
static_inimene_ee.ela_194968.txt,abs,2,0,0,0,2,2,0,1,0,1
,info,2,2,3,0.5,0.5,0.5,1,0.5,2,1
,aeg,1,2,1,1,0.5,0.5,0,0,0,2
,afek,0,0,0,0,0,0,0.5,0,0.5,0
,form,2,0.5,0,0,3,1,2,2,2,0
,inter,0,0,0,0,0,0,0,0,0,0
,spont,2,0,0.5,0,0,0,0,0,0,1
,imp,3,3,3,2,3,3,2,2,3,3
,arg,1,0.5,2,0,0,2,3,2,2,2
,inst,1,0,0,0.5,2,1,0,0,0.5,0
,keer,0.5,0.5,0.5,2,0.5,0,2,0,0,2
,subj,0,0,0,0,0,1,0.5,0.5,1,0
www_bioneer_ee.ela_243230.txt,abs,2,0,0,0,2,0.5,0,0,0,3
,info,3,1,1,0.5,1,2,0,2,0.5,3
,aeg,2,1,1,2,1,2,1,1,0,0.5
,afek,0,0,0,0,0,0,0,0,0,0
,form,3,2,3,3,2,3,3,3,2,3
,inter,0,1,1,0,0,0,0,0,1,0
,spont,1,1,1,1,0.5,2,0,0,0,1
,imp,3,3,2,2,2,3,0.5,0,3,1
,arg,0.5,1,1,0.5,1,2,2,0,2,0
,inst,0,0,0,2,0.5,2,0,0,2,2
,keer,2,2,2,0.5,2,1,2,0,2,0.5
,subj,0,0,0,0,0,1,0.5,0.5,1,1
www_tarbijakaitse_ee.ela_199918.txt,abs,0,0,0,0,0.5,0,0,0,0,0
,info,2,1,2,2,0.5,0,0,1,0,1
,aeg,1,1,1,2,1,1,0.5,0,0,1
,afek,0,0,0,0,0,0.5,0,0,1,1
,form,0,0.5,0,0,0.5,0,2,2,2,0
,inter,0,0,0,1,0,1,0.5,0,2,0
,spont,0,0,0.5,0,0,0,0,0,0,0
,imp,3,0,3,2,2,1,0.5,0.5,2,0.5
,arg,1,1,1,0.5,0,0.5,0,2,2,1
,inst,0,0,0,0,0,1,0,0,1,0
,keer,1,1,0,1,1,0,0,0,1,0
,subj,1,1,0,0.5,0.5,1,1,1,1,0.5
www_vorumaateataja_ee.ela_494965.txt,abs,0.5,1,0.5,1,1,0,0,0,0,1
,info,2,2,2,2,2,1,1,0,0,0
,aeg,0,0,2,2,0,0,2,0,0,0
,afek,1,1,2,0,2,0,1,2,3,2
,form,0,0.5,0,0,0,0,2,2,1,0
,inter,1,2,0,0,0,0,0.5,0.5,0.5,1
,spont,0,0,2,0,0,2,0,0,0,1
,imp,2,1,0,1,2,0,0.5,0.5,1,0.5
,arg,2,1,2,1,2,0.5,2,0.5,2,2
,inst,0,0,0,0,0,1,1,0,1,1
,keer,0,0,0,0,0,0,0,0,1,0
,subj,3,3,1,2,2,0.5,1,2,1,3
www_delfi_ee.ela_361703.txt,abs,0.5,1,0.5,1,1,0.5,1,1,0,1
,info,0,1,0,0,0,0.5,0.5,1,0.5,1
,aeg,0,0,1,0,2,2,2,2,0,3
,afek,3,3,3,1,3,3,3,3,1,3
,form,0,0,0,0,0,0,0,0,0,0
,inter,3,3,3,1,3,1,3,2,3,1
,spont,3,3,3,3,3,3,2,3,3,3
,imp,0,0,0,0,2,3,0.5,0.5,3,1
,arg,3,2,3,2,2,0.5,3,0,3,2
,inst,0,0.5,0,0.5,1,0.5,2,0,1,0
,keer,0,0,0,1,0.5,0,0,0,0.5,0
,subj,3,3,3,3,3,3,3,3,3,3
www_3dnews_ee.ela_435253.txt,abs,2,2,0,1,0,2,0,0,0,3
,info,1,3,3,0.5,3,2,2,3,2,3
,aeg,0,0,1,1,1,0.5,0.5,0.5,0,1
,afek,0,0,0,0.5,0,0,0,0,0,0
,form,2,2,3,0,2,2,2,1,2,1
,inter,0,0,0,0,0,0,1,0,0,0
,spont,0,0,0,0,0,0,0,0,0,0
,imp,3,3,3,1,3,3,3,2,2,3
,arg,0,0,0,0,0,3,0.5,0,2,0
,inst,0,2,1,2,3,2,0,0,0.5,1
,keer,1,1,1,3,2,1,2,2,2,2
,subj,1,1,1,1,1,0,0.5,0,0,0
www_ajakiri_ut_ee.ela_429007.txt,abs,0.5,0,0,2,0,0,0,0,0,1
,info,1,1,1,0.5,1,1,2,1,2,0
,aeg,0,1,1,0,1,0,0,0.5,0,0
,afek,0,0,0,0.5,0,0,0,1,0,0
,form,2,1,2,2,2,0.5,1,1,1,1
,inter,3,3,1,0,0,0,0,0,0,0
,spont,0,0,0,0,0,0,0,0,0,0
,imp,1,2,0.5,0.5,0.5,1,2,2,1,1
,arg,0.5,1,0.5,0,0,2,0.5,0,1,2
,inst,0,0,0,2,0,2,0.5,0,2,0
,keer,1,1,1,1,1,0,1,0,0,0.5
,subj,0,0,0,0,0,1,0,0,0,0
ekspress_online_2020.txt,abs,0.5,0,0,0,0,0,0,0,0,0
,info,1,0.5,1,0.5,0,0,0.5,0,0.5,1
,aeg,1,0.5,0,0.5,2,1,1,2,0,1
,afek,0,0.5,1,0.5,1,1,1,0.5,1,0
,form,0,2,0,0,0,0,0,0,0,0
,inter,1,0.5,1,0,0,0,0,0,2,0
,spont,0,0,1,0,0,0.5,0,0.5,0.5,0
,imp,1,0,0,1,0.5,1,1,1,0,0
,arg,0.5,0,0,0,0,0.5,0.5,0,0,0
,inst,0,0,0,0.5,0,0.5,0,0,0.5,0
,keer,0,0,0,0,0,0,0.5,0,0,0
,subj,0,1,0,1,1,2,0,0,1,0
www_hambaarst_ee.ela_423040.txt,abs,2,0,1,0,2,2,0,0,0.5,2
,info,1,3,1,0.5,1,3,3,3,3,2
,aeg,3,0,1,2,2,1,2,3,2,1
,afek,0,0,0,0.5,0,0,0,0,0,0
,form,3,3,3,3,3,2,3,3,3,3
,inter,0,0,0,0,0,0,0,0,0,0
,spont,0,0,0,0,0,0,0,0,0,0
,imp,3,3,3,2,3,3,0.5,3,3,3
,arg,0,1,2,0,0,2,2,0,3,0
,inst,1,0,2,2,2,1,2,3,3,2
,keer,3,3,2,3,3,1,3,2,3,2
,subj,0,0.5,0,0,0.5,0,0.5,0,0,0
uudised_err_ee.ela_541051.txt,abs,0.5,0,0,0.5,1,0.5,1,0,2,0.5
,info,1,2,2,2,0,1,1,1,1,0.5
,aeg,0,0,0,1,0,0,0.5,1,0.5,0
,afek,1,0.5,0.5,1,0.5,1,2,0.5,3,0.5
,form,0,2,0,1,1,0,0,2,0,0
,inter,1,1,0,0.5,0,1,0.5,0,0.5,1
,spont,0,0,0,0,0.5,0,1,0,0.5,0
,imp,3,0,0.5,1,1,0,0,0,2,2
,arg,2,1,2,2,3,2,1,2,0,0
,inst,0,0,0.5,0.5,0.5,1,1,0,0,0.5
,keer,1,1,0.5,1,1,0,0,0,3,0
,subj,0,2,1,0,2,3,1,0,0.5,0
www_eramets_ee.ela_479405.txt,abs,1,3,0,0,0,1,0,0.5,0,0
,info,0.5,0.5,1,1,2,2,2,1,2,3
,aeg,1,0.5,1,1,1,0,0.5,0,0,0
,afek,0.5,0.5,1,1,1,0,0,0,0,0
,form,3,3,3,3,3,3,3,3,2,3
,inter,0,0,0,0,0,0,0,0,0,0
,spont,0,0,0,0,0,0,0.5,0,0,0
,imp,3,3,3,2,3,3,3,3,3,3
,arg,0,0,0,0,0,0.5,0,0.5,3,0.5
,inst,1,1,1,1,2,2,0,0,2,0
,keer,2,1,2,1,2,1,1,1,0,2
,subj,0,0,0,0,0,0,0,0,0,0
www_unesco_ee.ela_630384.txt,abs,0.5,2,0,2,0.5,0,0,2,0,1
,info,2,0.5,3,0.5,2,0.5,0.5,0,0.5,1
,aeg,1,0.5,1,0.5,0.5,1,2,0,0,1
,afek,0,0,0,0,0,0.5,1,0.5,1,0.5
,form,2,2,2,2,1,2,2,3,3,0
,inter,0.5,0.5,0,0,0,0,1,0,1,0
,spont,0.5,0,0.5,0.5,0.5,0,0,0,0,1
,imp,3,2,3,3,2,2,3,0,2,3
,arg,1,1,1,0.5,1,0,0,0.5,0.5,0
,inst,0,0,0,0,0.5,0.5,0.5,0,0.5,0
,keer,0.5,0,0.5,0,0.5,0,1,0,0,0.5
,subj,0,0,0,0,0,0.5,1,1,1,1
www_epl_ee.ela_495381.txt,abs,0,0,0,0,0.5,0,2,0,0,0.5
,info,3,2,3,2,2,2,3,3,1,3
,aeg,2,0,2,3,1,2,1,2,2,2
,afek,1,0.5,1,0.5,1,0.5,1,0.5,1,0.5
,form,1,2,0,0,1,1,2,0,2,0
,inter,0.5,0.5,0,0,0,0.5,1,1,1,0
,spont,0,0,0,0,0,0.5,0,0,0,0
,imp,1,1,1,0.5,1,1,3,2,3,3
,arg,2,1,3,1,3,0.5,1,1,3,2
,inst,0,0,0,2,0,0.5,0,0,3,0
,keer,0,0.5,0.5,0,0,0,3,2,2,2
,subj,1,1,0,1,0,1,0,0,1,1
www_epl_ee.ela_679018.txt,abs,1,0.5,0,0,0.5,1,0.5,0,0,2
,info,0.5,1,1,0.5,1,0.5,1,1,0,1
,aeg,1,2,1,2,1,0.5,0,0.5,0.5,0.5
,afek,0,0,0,0,0,1,0,0,0,0
,form,2,3,2,2,1,0.5,0.5,1,1,1
,inter,1,1,0,1,0,0,0,0,2,0
,spont,0,0,0,0,0,0,0,0,0,2
,imp,3,1,3,1,0.5,0.5,1,0.5,0.5,1
,arg,0.5,1,0,1,1,1,1,0,0.5,2
,inst,0,0,0,0.5,0,1,1,0.5,1,1
,keer,1,2,2,1,1,0,1,2,2,1
,subj,0,0,0,0,0,1,0,0,0.5,0
valitsus_ee.ela_604239.txt,abs,3,3,1,2,0,0,0,2,1,3
,info,2,0.5,3,0.5,3,0.5,1,2,1,3
,aeg,0,0,0,0.5,0,0.5,1,1,0,1
,afek,0.5,0.5,0.5,1,1,0,0,0,0,0
,form,3,3,2,2,3,0.5,1,2,1,3
,inter,0.5,0,0,1,0,0,0.5,0,1,0
,spont,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5
,imp,3,1,3,2,2,3,3,2,2,3
,arg,2,0.5,1,0.5,1,2,2,0.5,0.5,0
,inst,1,2,0,3,1,2,0,1,2,0
,keer,2,0,2,0.5,0.5,2,2,2,2,2
,subj,0,0,0,0,0,2,0.5,0.5,0.5,1
sport_autonet_ee.ela_515760.txt,abs,0.5,2,0,0.5,0.5,1,0,0.5,0,1
,info,2,3,3,1,3,2,3,0.5,3,1
,aeg,3,3,3,0.5,2,2,3,3,0,3
,afek,0,0.5,1,0.5,1,0.5,1,0.5,0.5,1
,form,2,2,0,0,0,2,2,2,0,1
,inter,0,0.5,2,0,0,0,0.5,0,3,0
,spont,0,0,0,0,2,0,0,0,0,0
,imp,3,1,0,0.5,1,3,0,2,0.5,0
,arg,0,0,0,0,0,0.5,0.5,0,0.5,0
,inst,0,0.5,0,1,3,0.5,0,0,1,0
,keer,0.5,1,0.5,2,2,1,0.5,1,0.5,1
,subj,0,0,0,0,0,0.5,0,0,0,0
www_politsei_ee.ela_163441.txt,abs,1,0.5,0.5,0.5,1,0,0,0.5,0,0
,info,3,3,3,3,3,2,2,3,1,2
,aeg,3,2,3,2,3,2,3,0,1,0.5
,afek,0,0,0,0,0,0,0,0,0,0
,form,3,1,2,1,1,2,3,3,3,1
,inter,2,0.5,0,0,0,0,0,0,0,0
,spont,0,0,0,1,2,0,0,0,0,0.5
,imp,3,3,1,0.5,2,1,1,0.5,3,1
,arg,0,0,0,0,0,2,1,0,0,0
,inst,0,0,0,0,0,0,0,0,3,0
,keer,0,0,0,0,1,0,0,0,0.5,1
,subj,1,0.5,1,0.5,0.5,0,0,0,0,0
arvamusaed_ee.ela_6007.txt,abs,1,0.5,0,0.5,0,1,1,2,0,0
,info,0.5,1,0.5,2,0,0.5,0.5,1,0,0.5
,aeg,0,0,1,2,0.5,0.5,1,1,0,2
,afek,2,1,2,2,1,0.5,1,0.5,1,1
,form,0,0.5,0,0,0,0,1,2,1,0
,inter,1,2,0,0,0,0,0.5,0,1,0
,spont,0,0,1,0,0,1,0,0,0,0
,imp,1,1,1,0.5,1,0,2,3,2,0
,arg,2,2,2,2,2,1,3,2,2,0.5
,inst,0,0,1,0,0,2,0,0,0,0
,keer,0,0,0,0,0,0,0,0,0,0.5
,subj,3,2,3,2,2,2,3,2,2,1
stiimul_ee.ela_330566.txt,abs,0,0.5,0,0,1,1,0.5,1,0.5,1
,info,1,0,3,2,2,1,2,1,1,2
,aeg,0,0,0,1,0,0,0,0,0,0.5
,afek,0,0,1,0,0,1,1,0.5,1,1
,form,0.5,1,0,0,2,1,2,2,2,0
,inter,3,2,1,1,0,1,0,0,3,1
,spont,0,0,0,1,0,0,0,0,0,1
,imp,1,0,0,0.5,0.5,1,1,2,1,1
,arg,0.5,0,1,1,0,0.5,1,0,2,0
,inst,0,0,0,0,0,0,0,0,0,0
,keer,1,0,1,0.5,0,0,1,0,1,0
,subj,1,1,1,1,1,1,0,0,1,0
www_seduction_ee.ela_642092.txt,abs,1,2,1,0,3,0,2,3,2,0
,info,0,1,1,0.5,0.5,0,0.5,0,0,0.5
,aeg,0,0,0,0,0,1,1,0,0,2
,afek,3,2,3,3,3,3,3,2,3,3
,form,0,0,0,0,0,0,0.5,0.5,0.5,0
,inter,2,1,3,1,0,0,1,0,1,0
,spont,0.5,0,3,2,3,2,3,1,3,0.5
,imp,0,0,0,0.5,1,0,1,2,0,0.5
,arg,3,2,1,2,1,0.5,2,0,1,0
,inst,0,0,0,0,0,1,0,0,3,0
,keer,0,1,0,2,1,0,0,0,0.5,1
,subj,3,3,3,3,3,1,3,2,3,3
www_kohus_ee.ela_34731.txt,abs,1,0,0,0,0,0,0,0,0,1
,info,2,0,3,2,3,2,2,2,3,2
,aeg,3,2,2,2,3,2,1,3,0.5,2
,afek,0,0.5,0.5,0.5,1,3,0,1,0,0
,form,3,3,2,1,2,0.5,1,0.5,3,2
,inter,3,0.5,2,0,0,0,0.5,0,3,0
,spont,0,0,0.5,0,0,1,0.5,0,1,0.5
,imp,3,0,0,2,2,0,0.5,2,2,0
,arg,0,0.5,0.5,0.5,0,3,2,2,0.5,3
,inst,0,0,0,2,2,0.5,0,0,3,0
,keer,0.5,1,1,0.5,2,0,1,2,2,1
,subj,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5
www_lapsemure_ee.ela_140896.txt,abs,2,0.5,0,0.5,2,0,1,0,0,3
,info,0.5,2,1,2,0.5,0.5,0.5,0.5,1,0.5
,aeg,0,2,3,2,2,0.5,3,1,2,0.5
,afek,3,2,3,3,2,2,3,2,3,2
,form,1,1,1,0.5,0.5,0.5,0.5,1,1,0
,inter,3,3,0,1,0,1,3,0,3,0
,spont,2,3,3,3,3,3,3,3,3,3
,imp,0,0,0,1,1,0.5,1,0.5,1,1
,arg,1,0.5,0.5,0.5,1,0.5,1,1,2,1
,inst,0,0,0,0.5,0.5,0.5,0.5,0,1,0.5
,keer,2,0,0,2,0.5,0,0.5,0,0,0
,subj,3,3,3,3,2,3,3,3,1,1
